titleId	title	region	language	types	attributes	isOriginalTitle
tt0000629	After Many Years	US	\N	imdbDisplay	\N	0
tt0000630	Hamlet	US	\N	\N	\N	0
tt0000634	Antony and Cleopatra, the Love Story of the Noblest Roman and the Most Beautiful Egyptian	US	\N	\N	long title	0
tt0000634	Antony and Cleopatra	US	\N	imdbDisplay	\N	0
tt0000636	As You Like It	US	\N	imdbDisplay	\N	0
tt0000637	The Assassination of the Duke de Guise	US	\N	\N	\N	0
tt0000638	At the Crossroads of Life	US	\N	imdbDisplay	\N	0
tt0000639	At the French Ball	US	\N	imdbDisplay	\N	0
tt0000640	An Awful Moment	US	\N	imdbDisplay	\N	0
tt0000641	Balked at the Altar	US	\N	imdbDisplay	\N	0
tt0000642	The Bandit's Waterloo	US	\N	imdbDisplay	\N	0
tt0000643	Barbara Fritchie: The Story of a Patriotic American Woman	US	\N	\N	\N	0
tt0000643	Barbara Fritchie: The Story of a Forgotten Woman	US	\N	alternative	\N	0
tt0000643	Barbara Fritchie: A Story of a Loyal Woman	US	\N	alternative	\N	0
tt0000644	Behind the Scenes: Where All Is Not Gold That Glitters	US	\N	alternative	\N	0
tt0000644	Behind the Scenes	US	\N	imdbDisplay	\N	0
tt0000645	Betrayed by a Handprint	US	\N	imdbDisplay	\N	0
tt0000645	Betrayed by Hand Prints	US	\N	alternative	\N	0
tt0000648	The Black Viper	US	\N	imdbDisplay	\N	0
tt0000649	Bobby's Kodak	US	\N	imdbDisplay	\N	0
tt0000650	The Boston Tea Party	US	\N	imdbDisplay	\N	0
tt0000651	The Boy Detective, or the Abductors Foiled	US	\N	imdbDisplay	\N	0
tt0000653	A Calamitous Elopement	US	\N	imdbDisplay	\N	0
tt0000654	The Call of the Wild	US	\N	imdbDisplay	\N	0
tt0000658	The Puppet's Nightmare	US	\N	\N	\N	0
tt0000659	Caught by Wireless	US	\N	imdbDisplay	\N	0
tt0000660	The Christmas Burglars	US	\N	imdbDisplay	\N	0
tt0000661	Humanity Through the Ages	US	\N	\N	\N	0
tt0000662	Classmates	US	\N	imdbDisplay	\N	0
tt0000663	The Clubman and the Tramp	US	\N	imdbDisplay	\N	0
tt0000665	Concealing a Burglar	US	\N	imdbDisplay	\N	0
tt0000668	The Count of Monte Cristo	US	\N	imdbDisplay	\N	0
tt0000669	Cupid's Pranks	US	\N	imdbDisplay	\N	0
tt0000672	The Devil	US	\N	imdbDisplay	\N	0
tt0000677	Ex-Convict No. 900	US	\N	imdbDisplay	\N	0
tt0000679	The Fairylogue and Radio-Plays	US	\N	imdbDisplay	\N	0
tt0000680	Falsely Accused!	US	\N	imdbDisplay	\N	0
tt0000681	A Famous Escape	US	\N	imdbDisplay	\N	0
tt0000682	A Fantasy	US	\N	imdbDisplay	\N	0
tt0000683	The Fatal Hour	US	\N	imdbDisplay	\N	0
tt0000684	Father Gets in the Game	US	\N	imdbDisplay	\N	0
tt0000685	The Feud and the Turkey	US	\N	imdbDisplay	\N	0
tt0000687	A Florida Feud: or, Love in the Everglades	US	\N	imdbDisplay	\N	0
tt0000687	Florida Crackers	US	\N	alternative	\N	0
tt0000688	The Flower Girl of Paris	US	\N	imdbDisplay	\N	0
tt0000689	For Love of Gold	US	\N	imdbDisplay	\N	0
tt0000690	For a Wife's Honor	US	\N	imdbDisplay	\N	0
tt0000691	The French Maid	US	\N	imdbDisplay	\N	0
tt0000694	The Girl and the Outlaw	US	\N	imdbDisplay	\N	0
tt0000695	The Greaser's Gauntlet	US	\N	imdbDisplay	\N	0
tt0000697	The Guerrilla	US	\N	imdbDisplay	\N	0
tt0000698	The Heart of O Yama	US	\N	imdbDisplay	\N	0
tt0000699	The Helping Hand	US	\N	imdbDisplay	\N	0
tt0000699	The Scarlet Woman	US	\N	alternative	\N	0
tt0000700	Her First Adventure	US	\N	imdbDisplay	\N	0
tt0000701	His Day of Rest	US	\N	imdbDisplay	\N	0
tt0000703	Hulda's Lovers	US	\N	imdbDisplay	\N	0
tt0000704	The Humpty Dumpty Circus	US	\N	imdbDisplay	\N	0
tt0000706	The Barbarian Ingomar	US	\N	alternative	\N	0
tt0000706	Ingomar, the Barbarian	US	\N	imdbDisplay	\N	0
tt0000707	The Ingrate	US	\N	imdbDisplay	\N	0
tt0000708	The Invisible Fluid	US	\N	imdbDisplay	\N	0
tt0000709	Julius Caesar, an Historical Tragedy	US	\N	alternative	\N	0
tt0000709	Julius Caesar	US	\N	imdbDisplay	\N	0
tt0000711	The Kentuckian	US	\N	imdbDisplay	\N	0
tt0000712	King of the Cannibal Islands	US	\N	imdbDisplay	\N	0
tt0000713	The King's Messenger	US	\N	imdbDisplay	\N	0
tt0000713	The King's Messenger, a Story of Love, Intrigue and Heroism	US	\N	\N	review title	0
tt0000714	Leah the Forsaken	US	\N	imdbDisplay	\N	0
tt0000715	The Life of an American Cowboy	US	\N	imdbDisplay	\N	0
tt0000716	Lonesome Junction	US	\N	imdbDisplay	\N	0
tt0000717	Macbeth, Shakespeare's Sublime Tragedy	US	\N	alternative	\N	0
tt0000717	Macbeth	US	\N	imdbDisplay	\N	0
tt0000718	Making Moving Pictures	US	\N	imdbDisplay	\N	0
tt0000720	The Man and the Woman	US	\N	imdbDisplay	\N	0
tt0000721	The Man in the Box	US	\N	imdbDisplay	\N	0
tt0000722	The Red Barn Mystery	US	\N	imdbDisplay	\N	0
tt0000724	The Merchant of Venice	US	\N	imdbDisplay	\N	0
tt0000725	Mixed Babies	US	\N	imdbDisplay	\N	0
tt0000727	Monday Morning in a Coney Island Police Court	US	\N	imdbDisplay	\N	0
tt0000727	Coney Island Police Court	US	\N	alternative	\N	0
tt0000728	Money Mad	US	\N	imdbDisplay	\N	0
tt0000730	Mr. Jones at the Ball	US	\N	imdbDisplay	\N	0
tt0000731	Mrs. Jones Entertains	US	\N	imdbDisplay	\N	0
tt0000732	The Music Master	US	\N	imdbDisplay	\N	0
tt0000733	Old Isaacs, the Pawnbroker	US	\N	imdbDisplay	\N	0
tt0000734	Othello	US	\N	imdbDisplay	\N	0
tt0000734	Jealousy	US	\N	alternative	\N	0
tt0000736	The Outlaw	US	\N	imdbDisplay	\N	0
tt0000737	Over the Hill to the Poorhouse	US	\N	imdbDisplay	\N	0
tt0000738	The Paris Hat	US	\N	imdbDisplay	\N	0
tt0000740	The Pirate's Gold	US	\N	imdbDisplay	\N	0
tt0000741	The Planter's Wife	US	\N	imdbDisplay	\N	0
tt0000743	The Princess in the Vase	US	\N	imdbDisplay	\N	0
tt0000744	Professional Jealousy	US	\N	imdbDisplay	\N	0
tt0000745	Raffles, an American Cracksman	US	\N	imdbDisplay	\N	0
tt0000746	The Reckoning	US	\N	imdbDisplay	\N	0
tt0000747	The Red Girl	US	\N	imdbDisplay	\N	0
tt0000748	The Red Man and the Child	US	\N	imdbDisplay	\N	0
