titleId,ordering,title,regionclanguage,types,attributes,isOriginalTitle
tt0000546,2,Dream of a Rarebit Fiend,USc\N,imdbDisplay,\N,0
tt0000553,3,The Haunted Hotel,USc\N,imdbDisplay,\N,0
tt0000554,3,Humorous Phases of Funny Faces,USc\N,imdbDisplay,\N,0
tt0000557,2,Kathleen Mavourneen,USc\N,imdbDisplay,\N,0
tt0000561,3,The Life of a Cowboy,USc\N,imdbDisplay,\N,0
tt0000564,2,A Modern Oliver Twist,USc\N,imdbDisplay,\N,0
tt0000565,2,The Night Before Christmas,USc\N,imdbDisplay,\N,0
tt0000565,4,Hanging Stockings on a Christmas Eve,USc\N,alternative,\N,0
tt0000567,11,The Merry Frolics of Satan,USc\N,\N,\N,0
tt0000567,13,The 400 Tricks of the Devil,USc\N,\N,\N,0
tt0000570,1,San Francisco Disaster,USc\N,imdbDisplay,\N,0
tt0000571,2,The San Francisco Earthquake,USc\N,imdbDisplay,\N,0
tt0000574,7,The Story of the Kelly Gang,USc\N,imdbDisplay,\N,0
tt0000575,2,20000 Leagues Under the Sea,USc\N,\N,\N,0
tt0000576,4,Ali Baba and the Forty Thieves,USc\N,\N,\N,0
tt0000577,3,Angelo Tyrant of Padua,USc\N,imdbDisplay,\N,0
tt0000579,2,The Bandit Makes Good,USc\N,imdbDisplay,\N,0
tt0000582,2,Ben Hur,USc\N,imdbDisplay,\N,0
tt0000583,2,The Lady with the Camellias,USc\N,imdbDisplay,\N,0
tt0000586,1,A Curious Dream,USc\N,imdbDisplay,\N,0
tt0000590,1,Dr. Skinum,USc\N,imdbDisplay,\N,0
tt0000591,3,The Prodigal Son,USc\N,\N,\N,0
tt0000594,2,The Flight from the Seraglio,USc\N,imdbDisplay,\N,0
tt0000595,2,From the Rococo Times,USc\N,imdbDisplay,\N,0
tt0000597,1,Wonderful Mirrors,USc\N,imdbDisplay,\N,0
tt0000597,3,The Magic Mirror,USc\N,imdbDisplay,\N,0
tt0000598,3,Hamlet Prince of Denmark,USc\N,imdbDisplay,\N,0
tt0000599,3,Polar Bear Hunt,USc\N,imdbDisplay,\N,0
tt0000602,7,Lion Hunting,USc\N,imdbDisplay,\N,0
tt0000603,2,The Magic Fountain Pen,USc\N,imdbDisplay,\N,0
tt0000604,3,A Misalliance,USc\N,imdbDisplay,\N,0
tt0000606,1,Mr. Gay and Mrs.,USc\N,imdbDisplay,\N,0
tt0000609,1,Othello,USc\N,\N,\N,0
tt0000611,4,In the Sultan's Power,USc\N,imdbDisplay,\N,0
tt0000614,2,The Red Spectre,USc\N,\N,\N,0
tt0000614,4,Satan at Play,USc\N,\N,\N,0
tt0000617,5,The Robber's Sweetheart,USc\N,\N,\N,0
tt0000619,2,Stalking and Shooting Caribou in Newfoundland,USc\N,imdbDisplay,\N,0
tt0000619,3,A Caribou Hunt,USc\N,alternative,\N,0
tt0000620,3,The Will,USc\N,imdbDisplay,\N,0
tt0000623,3,The Magic Bag,USc\N,imdbDisplay,\N,0
tt0000624,2,The Ugly Duckling,USc\N,imdbDisplay,\N,0
tt0000626,2,Yale Laundry,USc\N,imdbDisplay,\N,0
tt0000627,1,Ostler Joe,USc\N,imdbDisplay,\N,0
tt0000628,4,The Adventures of Dollie,USc\N,imdbDisplay,\N,0
tt0000629,1,After Many Years,USc\N,imdbDisplay,\N,0
tt0000630,4,Hamlet,USc\N,\N,\N,0
tt0000634,1,Antony and Cleopatra the Love Story of the Noblest Roman and the Most Beautiful Egyptian,USc\N,\N,long title,0
tt0000634,4,Antony and Cleopatra,USc\N,imdbDisplay,\N,0
